alpha_prime,beta_c,peak_height,peak_day,attack_rate
0.05,1,0.395,9,0.803
0.1,1,0.39,9,0.798
0.2,1,0.379,9,0.786
0.4,1,0.358,9,0.764
0.8,1,0.332,9,0.738
0.05,0.75,0.364,10,0.781
0.1,0.75,0.353,10,0.771
0.2,0.75,0.329,10,0.75
0.4,0.75,0.285,11,0.704
0.8,0.75,0.24,12,0.653
0.05,0.5,0.329,11,0.754
0.1,0.5,0.311,12,0.739
0.2,0.5,0.272,12,0.7
0.4,0.5,0.196,13,0.605
0.8,0.5,0.135,15,0.509
0.05,0.25,0.292,13,0.723
0.1,0.25,0.268,13,0.699
0.2,0.25,0.208,14,0.631
0.4,0.25,0.103,15,0.446
0.8,0.25,0.05,18,0.311
0.05,SVIR-A,0.46,9,0.855
0.1,SVIR-A,0.46,9,0.855
0.2,SVIR-A,0.46,9,0.855
0.4,SVIR-A,0.46,9,0.855
0.8,SVIR-A,0.46,9,0.855
