alpha_prime,beta_c,peak_height,peak_day,attack_rate
0.05,1,0.56,8,0.93
0.1,1,0.558,8,0.929
0.2,1,0.553,8,0.924
0.4,1,0.543,8,0.917
0.8,1,0.531,8,0.908
0.05,0.75,0.534,9,0.921
0.1,0.75,0.526,9,0.918
0.2,0.75,0.507,9,0.91
0.4,0.75,0.476,10,0.893
0.8,0.75,0.442,11,0.874
0.05,0.5,0.5,10,0.91
0.1,0.5,0.483,10,0.903
0.2,0.5,0.448,11,0.887
0.4,0.5,0.372,13,0.843
0.8,0.5,0.307,15,0.792
0.05,0.25,0.458,11,0.894
0.1,0.25,0.433,12,0.882
0.2,0.25,0.366,13,0.847
0.4,0.25,0.209,18,0.691
0.8,0.25,0.108,25,0.518
0.05,SVIR-A,0.591,8,0.95
0.1,SVIR-A,0.591,8,0.95
0.2,SVIR-A,0.591,8,0.95
0.4,SVIR-A,0.591,8,0.95
0.8,SVIR-A,0.591,8,0.95
